City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Aykhal,RU,2020-04-17 15:03:39,66.0,111.5,6.8,60,34,6.71
228,Wajima,JP,2020-04-17 15:03:39,37.4,136.9,52.59,77,100,14.23
229,Saint Anthony,US,2020-04-17 15:03:39,45.02,-93.22,42.01,40,1,5.82
230,Pangnirtung,CA,2020-04-17 15:03:40,66.15,-65.71,5.0,84,75,11.41
231,Podgornoye,RU,2020-04-17 15:03:40,51.73,39.15,46.4,33,79,15.66
232,Kloulklubed,PW,2020-04-17 15:03:40,7.04,134.26,78.8,88,75,5.82
233,Chernyshkovskiy,RU,2020-04-17 15:03:40,48.42,42.23,55.8,50,80,11.63
234,Kodinsk,RU,2020-04-17 15:03:41,58.69,99.18,34.97,84,99,10.0
235,Shache,CN,2020-04-17 15:03:41,38.42,77.24,63.27,34,100,10.94
236,Pevek,RU,2020-04-17 15:03:41,69.7,170.31,2.95,92,58,7.27
237,Fortuna,US,2020-04-17 15:03:42,40.6,-124.16,48.99,93,90,3.36
238,Belmonte,BR,2020-04-17 15:03:42,-15.86,-38.88,82.4,78,75,5.82
239,Sao Joao Da Barra,BR,2020-04-17 15:03:42,-21.64,-41.05,77.0,78,75,16.11
240,Katherine,AU,2020-04-17 15:03:42,-14.47,132.27,80.6,57,40,4.7
241,Monte Alegre De Minas,BR,2020-04-17 15:00:59,-18.87,-48.88,78.8,54,20,11.41
242,Novi Pazar,RS,2020-04-17 15:01:49,43.14,20.51,70.81,27,0,2.84
243,Mar Del Plata,AR,2020-04-17 15:03:43,-38.0,-57.56,66.0,63,27,12.75
244,Oskemen,KZ,2020-04-17 15:03:43,49.96,82.61,50.0,53,0,2.24
245,Acajutla,SV,2020-04-17 14:59:37,13.59,-89.83,79.0,76,0,1.99
246,Cedar City,US,2020-04-17 15:03:44,37.68,-113.06,39.2,51,90,5.88
247,Kalevala,RU,2020-04-17 15:03:45,65.2,31.17,36.59,77,82,11.48
248,Peniche,PT,2020-04-17 15:03:45,39.36,-9.38,64.0,75,0,14.0
249,Blagoyevo,RU,2020-04-17 15:03:46,63.37,47.92,35.1,93,100,6.71
250,Porto Real,BR,2020-04-17 15:03:46,-22.42,-44.29,73.02,67,90,3.71
251,Codrington,AU,2020-04-17 15:03:46,-38.27,141.97,55.49,76,81,14.12
252,Machaneng,BW,2020-04-17 15:03:47,-23.19,27.49,82.38,30,91,8.63
253,Port Augusta,AU,2020-04-17 15:03:47,-32.5,137.77,55.4,76,0,4.7
254,Aitape,PG,2020-04-17 15:03:47,-3.14,142.35,79.81,81,97,3.83
255,Katangli,RU,2020-04-17 15:03:47,51.71,143.23,34.74,84,15,7.63
256,Matagami,CA,2020-04-17 15:03:47,49.75,-77.63,26.6,53,20,12.75
257,Biarritz,FR,2020-04-17 14:59:30,43.48,-1.56,75.99,46,75,3.36
258,Kaitangata,NZ,2020-04-17 15:03:48,-46.28,169.85,52.0,83,100,18.01
259,Hithadhoo,MV,2020-04-17 15:03:48,-0.6,73.08,84.85,71,39,5.99
260,Tuatapere,NZ,2020-04-17 15:03:49,-46.13,167.68,48.0,95,100,4.0
261,Churapcha,RU,2020-04-17 15:03:49,62.0,132.43,4.77,87,100,5.5
262,Zhaotong,CN,2020-04-17 15:03:50,27.32,103.72,58.5,43,28,3.04
263,Vila Franca Do Campo,PT,2020-04-17 15:03:50,37.72,-25.43,60.8,77,20,11.41
264,Mastic Beach,US,2020-04-17 15:03:50,40.77,-72.85,45.0,33,14,11.99
265,Dalbandin,PK,2020-04-17 15:03:50,28.89,64.41,72.61,30,8,9.17
266,Songjianghe,CN,2020-04-17 15:03:51,42.19,127.48,39.69,57,96,2.28
267,Erenhot,CN,2020-04-17 15:03:51,43.65,111.98,51.67,26,0,4.45
268,Agadez,NE,2020-04-17 15:03:51,19.75,10.25,101.57,7,0,7.49
269,Tezu,IN,2020-04-17 15:03:52,27.92,96.17,70.84,64,22,3.8
270,Verkhnyaya Inta,RU,2020-04-17 15:03:52,65.98,60.31,36.54,79,74,3.51
271,Jutai,BR,2020-04-17 15:03:53,-5.18,-68.9,82.89,64,67,5.37
272,Buala,SB,2020-04-17 15:03:53,-8.14,159.59,80.64,79,96,5.19
273,Adrar,MR,2020-04-17 15:03:53,20.5,-10.07,97.02,17,4,5.77
274,Agadir,MA,2020-04-17 15:03:54,30.42,-9.6,75.2,41,0,23.04
275,Jalu,LY,2020-04-17 15:03:54,29.03,21.55,79.07,17,0,11.45
276,Barmer,IN,2020-04-17 15:03:55,25.75,71.38,92.28,15,22,11.88
